team,conf,GP,Min_per,ORtg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,year,pid,type,Rec Rank,ast/tov,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade,dunksmiss+dunksmade,dunksmade/(dunksmade+dunksmiss),drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,role,3p/100?,dob,label
Sacramento St.,BSky,19,35.6,102.5,19.9,56.3,54.77,9.1,16.6,6.8,14.7,41,84,0.488,49,87,0.563,0,0,0.0,0.9,3.4,96.6,Sr,6-5,,1.03567,100.892,5.3,2008,14,"Windsor, CT",,0.57891249,,,,,,,,,,108.03,107.443,1.30514,73.5997,-2.19293,-0.695346,-1.49759,-1.01666,19.4286,-0.30841,-0.708252,1.8095,2.5238,4.3333,0.5238,1.1429,0.1905,7.4286,,0.0,1985-10-15,0
Fordham,A10,8,1.0,56.6,5.1,0.0,0.0,10.6,11.5,0.0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0.0,0.0,0.0,So,6-0,,-0.201816,43.2673,3.6,2008,15,,,0.0,,,,,,,,,,109.955,106.577,0.0962845,1.35163,-9.08149,-4.67415,-4.40733,-11.0591,1.375,-6.82797,-4.23112,0.125,0.125,0.25,0.0,0.0,0.0,0.0,,5.48884,1987-10-15,0
Loyola Chicago,Horz,23,17.9,90.3,12.3,39.7,42.05,2.8,8.3,10.9,20.1,3,3,1.0,2,5,0.4,9,34,0.265,0.6,2.2,7.7,Sr,6-1,,-0.143648,81.0256,4.3,2008,16,,,1.39999999,,,,,,,,,,106.018,105.359,0.677039,31.312,-2.31172,-1.52155,-0.790176,-3.46771,9.88,-3.48893,0.0212178,0.28,0.64,0.92,0.56,0.48,0.04,2.04,,10.4947,1985-10-15,0
Wagner,NEC,31,90.8,100.6,25.8,45.0,52.63,1.7,12.1,29.0,24.0,163,210,0.776,111,241,0.461,40,139,0.288,2.6,2.9,55.3,Sr,6-2,,2.2538,103.444,1.9,2008,17,"Richland, NJ",,1.36508799,,,,,,,,,,96.6509,100.257,3.34068,241.749,0.968204,-0.14248,1.11068,2.71564,37.3548,1.55631,1.15932,0.5806,4.2581,4.8387,5.5484,1.9032,0.9032,16.2903,,6.80967,1985-10-15,0
Wagner,NEC,31,41.0,79.8,13.6,36.3,37.51,4.1,9.2,13.6,26.3,10,21,0.476,28,73,0.384,6,29,0.207,2.1,1.3,20.6,Jr,6-6,,-0.928914,69.2503,3.4,2008,18,,,1.24246129,,,,,,,,,,101.629,105.42,1.21482,88.5808,-5.42881,-5.14518,-0.283626,-5.17693,16.871,-4.94433,-0.232594,0.6452,1.4516,2.0968,1.3226,0.3871,0.3226,2.7097,,3.14638,1986-10-15,0
Loyola Chicago,Horz,29,77.7,98.6,20.3,48.0,52.01,3.3,10.3,13.1,20.6,59,79,0.747,74,164,0.451,30,84,0.357,3.1,2.1,31.9,Sr,6-7,,1.6226,100.607,2.8,2008,19,,,0.90324998,,,,,,,,,,104.393,103.679,2.48961,146.286,0.944965,-0.168342,1.11331,1.31366,31.0323,0.763303,0.550358,0.871,2.3871,3.2581,1.8065,0.9677,0.8065,9.8387,,5.97316,1985-10-15,0
Wagner,NEC,30,79.7,104.9,16.9,48.8,50.86,6.4,10.7,8.9,15.9,43,64,0.672,90,188,0.479,36,107,0.336,1.1,1.9,21.7,Jr,6-5,,1.21894,96.2406,3.2,2008,20,"Towson, MD",17.2,0.97918747,,,,,,,,,,100.24,104.139,2.58265,183.243,-0.31911,-0.242892,-0.0762178,-0.685718,33.8667,-0.704472,0.0187544,2.0,3.4,5.4,1.5667,1.1,0.3333,11.0333,,5.97203,1986-10-15,0
Longwood,ind,28,70.5,90.0,14.9,46.9,50.88,0.9,8.3,25.0,33.5,29,36,0.806,9,39,0.231,40,108,0.37,0.3,1.1,24.5,Sr,5-10,,-0.349982,81.9885,3.0,2008,21,,,1.5333141,,,,,,,,,,114.081,118.921,0.766656,113.285,-7.97036,-2.65941,-5.31095,-7.16077,28.0645,-3.33353,-3.82723,0.2258,1.9032,2.129,3.7097,0.5484,0.0645,6.4516,,7.70542,1985-10-15,0
Pittsburgh,BE,36,49.7,104.4,15.9,48.1,50.81,11.7,12.0,3.8,17.9,39,63,0.619,74,149,0.497,2,11,0.182,2.3,0.8,39.4,Jr,6-8,,1.25077,103.713,4.5,2008,22,"Ramsey, NJ",83.4,0.52943736,,,,,,,,,,101.851,97.1634,2.03963,113.731,2.10494,1.44026,0.664681,-0.128892,19.9459,-0.153016,0.0241233,2.0811,2.0541,4.1351,0.4865,0.2703,0.4054,5.3514,,0.920287,1986-10-15,0
Loyola Chicago,Horz,25,17.6,56.4,9.9,18.8,19.17,5.7,12.9,3.8,15.9,1,4,0.25,3,12,0.25,2,20,0.1,2.4,3.5,12.5,Sr,6-8,,-1.07098,47.9088,3.6,2008,23,,,0.57115313,,,,,,,,,,100.469,99.1986,0.783772,38.817,-2.30276,-4.20157,1.89882,-4.37821,8.6296,-5.48544,1.10722,0.4444,0.9259,1.3704,0.1481,0.4074,0.2222,0.6667,,6.2786,1985-10-15,0
Alabama A&M,SWAC,11,9.2,58.3,11.7,19.4,23.75,3.3,2.4,10.3,25.2,2,2,1.0,2,9,0.222,1,9,0.111,0.0,1.8,11.1,Fr,6-3,,-1.10385,49.1153,2.5,2008,24,,,1.0,,,,,,,,,,101.927,107.973,0.568851,13.826,-9.76542,-6.92556,-2.83986,-10.2659,9.4286,-7.81593,-2.44997,0.2143,0.5714,0.7857,0.3571,0.4286,0.0,1.1429,,5.32203,1988-10-15,0
Connecticut,BE,2,0.2,202.2,4.9,0.0,0.0,39.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,So,6-5,,0.339305,150.754,0.0,2008,25,,,0.0,,,,,,,,,,111.49,118.007,0.0455453,0.259776,-0.963822,4.74778,-5.7116,2.41494,1.5,6.82114,-4.4062,0.5,0.0,0.5,0.0,0.0,0.0,0.0,,0.0,1987-10-15,0
N.C. State,ACC,16,6.9,109.5,8.2,71.4,71.43,7.9,14.1,9.6,35.2,0,0,0.0,5,6,0.833,0,1,0.0,2.2,1.4,0.0,Jr,6-5,,0.146671,93.4295,6.0,2008,26,,,1.0,,,,,,,,,,105.455,100.785,0.484403,14.8074,3.02948,1.12352,1.90596,0.345957,5.375,-2.74107,3.08703,0.3125,0.6875,1.0,0.25,0.125,0.125,0.625,,0.718633,1986-10-15,0
Utah St.,WAC,34,70.5,119.0,22.3,60.2,64.28,11.5,20.6,8.4,17.5,100,124,0.806,164,263,0.624,9,32,0.281,2.2,1.0,42.0,Jr,6-9,,3.49116,121.235,2.9,2008,27,,,0.65077777,,,,,,,,,,102.86,104.302,2.19778,179.681,2.7505,3.55385,-0.803345,2.20686,27.8857,3.64658,-1.43972,2.0857,4.9429,7.0286,1.1714,0.4571,0.6286,13.3429,,2.04683,1986-10-15,0
Chicago St.,ind,25,59.6,95.7,17.4,42.7,48.61,8.3,17.6,5.8,19.0,53,78,0.679,48,118,0.407,9,26,0.346,1.0,1.5,54.2,Jr,6-5,,0.471898,91.2699,3.3,2008,28,,,0.58970493,,,,,,,,,,110.059,108.906,1.47674,110.116,-4.06325,-1.66164,-2.40161,-4.52756,23.5714,-1.61963,-2.90793,1.75,3.7143,5.4643,0.8214,0.5714,0.2143,6.8929,,2.39478,1986-10-15,0
LSU,SEC,30,85.6,96.7,13.5,46.3,52.83,2.9,10.4,18.6,29.9,52,65,0.8,37,78,0.474,21,70,0.3,2.2,2.2,43.9,Jr,6-6,,0.597695,90.5985,3.5,2008,29,"Baton Rouge, LA",64.0,1.52055378,,,,,,,,,,101.676,97.7153,3.44891,183.493,3.17776,0.593289,2.58447,0.748673,34.3871,-1.30451,2.05318,0.9032,3.3226,4.2258,3.5806,1.3226,0.7742,6.3871,,3.98874,1986-10-15,1
Fordham,A10,25,30.6,93.7,14.6,44.2,44.94,5.4,9.9,3.8,12.3,6,11,0.545,20,45,0.444,12,41,0.293,0.6,1.4,12.8,Sr,6-7,,0.137834,88.4668,4.1,2008,30,,,0.60010399,,,,,,,,,,107.102,103.38,1.11061,49.5628,-3.3832,-1.76762,-1.61558,-3.125,14.0769,-2.29584,-0.829158,0.6923,1.0385,1.7308,0.2308,0.3077,0.0769,3.3077,,7.35432,1985-10-15,0
Fordham,A10,28,66.5,96.7,9.4,38.0,46.48,3.8,7.1,18.6,28.9,31,51,0.608,19,41,0.463,0,9,0.0,0.4,2.3,102.0,Sr,6-3,,-0.210534,83.2843,3.3,2008,31,,,2.23532914,,,,,,,,,,106.529,103.186,2.17532,110.951,-0.725308,-1.45306,0.727749,-1.3884,26.8276,-2.95601,1.56761,0.8966,1.5172,2.4138,2.6207,1.0,0.1034,2.5862,,0.74285,1985-10-15,0
Boston University,AE,28,62.8,101.5,21.9,47.7,50.54,4.1,11.7,14.2,14.3,42,54,0.778,54,124,0.435,54,159,0.34,1.8,1.7,19.1,So,6-3,,1.52387,101.36,3.7,2008,32,"Portland, ME",3.2,1.12494754,,,,,,,,,,101.748,103.451,2.2486,126.3,-0.00999967,0.616214,-0.626214,1.21247,27.9286,1.55732,-0.344853,1.0,2.5714,3.5714,1.6071,0.7857,0.3929,11.1429,,12.4269,1987-10-15,0
Boston University,AE,7,1.2,101.0,17.8,33.3,40.82,15.4,8.5,0.0,0.0,2,4,0.5,1,3,0.333,0,0,0.0,0.0,0.0,133.3,So,6-4,,0.0666814,94.5333,0.0,2008,33,"Milwaukee, WI",,0.0,,,,,,,,,,108.093,110.317,0.122242,1.71996,-12.1821,-4.21255,-7.96959,-1.40278,2.1429,3.27219,-4.67496,0.2857,0.1429,0.4286,0.0,0.0,0.0,0.5714,,0.0,1987-10-15,0
Detroit Mercy,Horz,29,64.7,89.5,20.3,43.1,44.53,5.3,12.6,10.6,16.5,29,54,0.537,78,178,0.438,8,31,0.258,2.0,1.4,25.8,So,6-4,,0.534935,91.5265,3.1,2008,34,"Detroit, MI",,0.89468692,,,,,,,,,,109.688,108.389,1.64838,110.48,-3.979,-2.61584,-1.36317,-3.56243,25.6667,-1.74568,-1.81675,1.0667,2.3,3.3667,1.1333,0.6333,0.3667,6.9667,,2.73368,1987-10-15,0
Detroit Mercy,Horz,12,3.5,99.7,8.1,66.7,50.63,9.1,23.4,5.1,19.8,0,2,0.0,2,3,0.667,0,0,0.0,10.1,1.6,66.7,Fr,6-8,,-0.0222709,83.6871,4.9,2008,35,"Paris, KY",,0.5,,,,,,,,,,101.288,100.089,0.316169,8.38764,1.29976,-3.28528,4.58504,-0.200833,3.3077,-1.86661,1.66578,0.2308,0.5385,0.7692,0.0769,0.0769,0.2308,0.3077,,0.0,1988-10-15,0
Boston University,AE,30,67.3,97.6,22.0,47.0,54.15,8.3,19.5,9.5,22.2,109,156,0.699,95,200,0.475,0,2,0.0,4.9,2.1,77.2,So,6-9,,1.1641,97.6256,4.8,2008,36,"Bend, OR",16.2,0.50745532,,,,,,,,,,96.4204,97.6439,2.81018,168.304,-0.237113,-3.02002,2.7829,-1.12794,27.9333,-2.11809,0.990156,2.0,4.3,6.3,1.1333,0.9333,1.0667,9.9667,,0.145861,1987-10-15,0
Albany,AE,29,27.2,98.9,11.4,63.9,65.66,7.5,15.7,3.5,33.9,15,22,0.682,23,36,0.639,0,0,0.0,5.1,1.5,61.1,So,6-11,,-0.0278428,84.8527,8.2,2008,37,,,0.28573402,,,,,,,,,,97.6386,100.968,1.0071,65.2241,-0.31905,-2.41694,2.09789,-3.1134,11.4483,-4.86488,1.75149,0.7241,1.4828,2.2069,0.2069,0.2759,0.4828,2.1034,,0.0,1987-10-15,0
Boston University,AE,27,24.3,78.6,9.6,32.5,36.48,3.8,13.4,5.9,21.0,7,11,0.636,7,23,0.304,4,17,0.235,2.1,0.6,27.5,So,6-7,,-0.818124,64.4868,4.5,2008,38,"Wakefield, VA",,0.89983797,,,,,,,,,,103.269,104.53,0.862695,45.384,-5.48455,-5.36372,-0.120829,-5.97535,11.1852,-5.86056,-0.114788,0.3704,1.1852,1.5556,0.3333,0.1111,0.1852,1.2222,,3.43374,1987-10-15,0
Boston University,AE,26,70.7,98.6,29.9,52.0,53.05,2.5,11.2,27.5,19.3,50,82,0.61,72,156,0.462,92,248,0.371,0.7,1.8,20.3,So,6-2,,2.54246,107.318,3.0,2008,39,"Newtonville, MA",55.6,1.03614943,,,,,,,,,,102.434,104.744,2.57302,137.668,1.13225,2.77757,-1.64532,1.96259,33.8462,3.60904,-1.64646,0.7308,3.0,3.7308,3.3077,0.9615,0.1923,18.0769,,17.217,1987-10-15,0
Butler,Horz,12,1.4,98.6,10.8,37.5,37.5,0.0,6.9,10.3,0.0,0,0,0.0,0,1,0.0,1,3,0.333,6.3,0.0,0.0,So,6-7,,0.00138037,85.8169,4.2,2008,40,"Downers Grove, IL",27.6,0.99960003,,,,,,,,,,100.31,101.74,0.137447,2.5538,-0.435611,-1.49883,1.06322,-0.354581,1.5833,-1.03974,0.685158,0.0,0.0833,0.0833,0.0833,0.0,0.0833,0.25,,10.3107,1987-10-15,0
Butler,Horz,12,2.0,44.8,12.6,25.0,25.0,0.0,0.0,7.0,38.9,0,0,0.0,1,1,1.0,0,3,0.0,0.0,0.0,0.0,So,6-5,,-0.359046,39.5783,8.9,2008,41,"Fort Wayne, IN",,0.49970005,,,,,,,,,,105.529,105.63,0.164948,2.64091,-11.5088,-7.75762,-3.75122,-18.8056,2.25,-14.6956,-4.10998,0.0,0.0,0.0,0.0833,0.0,0.0,0.1667,,7.21746,1987-06-27,0
Albany,AE,4,1.8,73.1,14.3,40.0,36.53,0.0,27.6,9.1,19.4,0,1,0.0,2,4,0.5,0,1,0.0,0.0,0.0,20.0,So,6-5,,-0.378836,65.0954,3.6,2008,42,,,1.0,,,,,,,,,,100.233,104.434,0.413127,3.89979,-9.27489,-6.83447,-2.44042,-9.60209,5.5,-8.0751,-1.52699,0.0,1.25,1.25,0.25,0.0,0.0,1.0,,2.77975,1987-10-15,0
Manhattan,MAAC,27,47.3,92.9,12.0,47.7,48.82,2.5,17.7,14.3,26.8,14,26,0.538,19,40,0.475,15,47,0.319,0.2,3.4,29.9,So,6-2,,-0.365018,80.7212,2.9,2008,43,"Woodstock, VA",,1.37495788,,,,,,,,,,102.134,104.679,1.66357,115.41,0.116554,-0.73221,0.848764,-0.905387,21.8148,-2.32479,1.4194,0.4815,2.963,3.4444,1.6296,1.2593,0.037,3.5926,,4.74537,1987-10-15,0
Navy,Pat,15,11.5,94.3,20.7,59.4,59.19,2.3,8.9,23.5,32.5,10,18,0.556,10,22,0.455,6,10,0.6,0.0,1.9,56.3,So,6-3,,0.225773,92.7111,4.6,2008,44,"Severn, MD",19.6,0.94123359,,,,,,,,,,101.536,107.018,0.623674,24.3183,-5.79853,-3.10148,-2.69706,-3.10212,9.3333,-2.08326,-1.01886,0.2,0.7333,0.9333,1.0667,0.3333,0.0,3.2,,3.93845,1987-10-15,0
Manhattan,MAAC,30,71.9,102.8,22.8,52.4,57.87,0.9,5.2,17.1,23.3,107,144,0.743,68,147,0.463,43,106,0.406,0.5,1.9,56.9,So,6-2,,1.96954,104.67,3.0,2008,45,"Oyster Bay, NY",,0.87497664,,,,,,,,,,109.653,112.61,1.45844,123.989,-2.75429,0.607322,-3.36161,-1.56625,29.8333,0.610561,-2.17681,0.2333,1.2,1.4333,2.3333,0.9667,0.1333,12.4,,7.04061,1987-10-15,0
Manhattan,MAAC,26,30.0,85.6,22.7,47.0,45.38,4.8,18.5,24.6,26.6,14,40,0.35,32,67,0.478,10,33,0.303,0.9,2.5,40.0,So,6-4,,0.0575029,86.7263,4.5,2008,46,"Milford, NY",,1.13157712,,,,,,,,,,103.184,106.354,1.01084,70.0975,-2.9716,-2.22416,-0.747438,-3.07797,14.3462,-2.24709,-0.830874,0.6154,2.0385,2.6538,1.6538,0.6154,0.1154,4.1538,,5.25322,1987-10-15,0
Navy,Pat,29,77.5,110.4,21.7,56.9,59.72,2.8,6.2,24.5,22.3,60,74,0.811,48,106,0.453,89,213,0.418,0.0,3.2,23.2,So,6-2,,2.76884,110.448,3.5,2008,47,,,1.27710428,,,,,,,,,,99.9125,106.382,2.26719,177.148,1.86522,3.26992,-1.4047,2.74135,32.6207,2.62228,0.119066,0.8621,1.7931,2.6552,3.6552,1.9655,0.0,14.5862,,12.448,1987-10-15,0
Wofford,SC,7,1.5,87.6,9.9,0.0,34.48,6.9,7.2,0.0,0.0,2,4,0.5,0,1,0.0,0,0,0.0,0.0,0.0,400.0,So,6-7,,-0.0721726,77.0013,2.4,2008,48,,,0.75000006,,,,,,,,,,115.925,111.112,0.131839,1.85081,-9.54457,-3.89384,-5.65073,-5.12257,5.1818,-1.54994,-3.57263,0.0909,0.0909,0.1818,0.2727,0.0,0.0909,0.8182,,0.0,1987-10-15,0
Navy,Pat,15,10.7,80.1,10.0,46.4,43.78,5.7,12.2,5.5,29.7,3,9,0.333,5,8,0.625,1,6,0.167,0.0,2.5,64.3,So,6-7,,-0.537169,67.2571,6.8,2008,49,"New Hampton, NH",14.2,0.5714592,,,,,,,,,,98.5425,105.0,0.638357,25.8311,-3.64372,-3.47708,-0.166642,-5.99259,8.6667,-5.66013,-0.332456,0.4667,0.9333,1.4,0.2667,0.4,0.0,1.0667,,2.53975,1987-10-15,0
Western Carolina,SC,4,11.1,90.3,34.7,41.0,42.53,6.4,12.3,25.3,15.9,8,14,0.571,23,62,0.371,6,16,0.375,0.0,1.4,17.9,So,6-7,,2.16627,104.341,3.3,2008,50,"South Webster, OH",17.0,0.94117646,,,,,,,,,,108.287,106.971,2.28287,19.9829,-4.7071,-1.1237,-3.5834,-0.729289,32.4,0.684623,-1.41391,1.8,3.4,5.2,3.2,1.2,0.6,18.8,,7.3393,1987-10-15,0
Manhattan,MAAC,26,27.6,99.4,19.3,38.2,46.94,14.0,15.1,3.5,16.1,41,62,0.661,29,76,0.382,0,0,0.0,5.8,3.4,81.6,So,6-6,,0.51519,96.8411,6.9,2008,51,"Kent, CT",,0.33338148,,,,,,,,,,99.7179,102.518,1.10751,73.7506,-0.366933,-1.54814,1.18121,-2.21119,13.2308,-2.36942,0.158237,1.6538,1.5385,3.1923,0.2308,0.7692,0.6538,3.8077,,0.0,1987-10-15,0
Manhattan,MAAC,30,47.7,100.9,24.1,45.6,49.86,4.7,12.5,15.5,15.4,61,92,0.663,74,156,0.474,13,49,0.265,1.8,2.5,44.9,So,6-4,,1.28118,104.291,4.0,2008,52,"Bronx, NY",,1.08108329,,,,,,,,,,105.091,107.925,1.2885,102.981,-1.04675,0.29845,-1.3452,-0.398866,19.8,0.375708,-0.774573,0.8333,1.9,2.7333,1.3333,0.8333,0.3,8.2667,,4.90581,1987-10-15,0
Western Illinois,Sum,24,28.7,90.3,16.3,37.9,44.96,7.1,15.8,7.0,19.1,26,39,0.667,25,66,0.379,0,0,0.0,1.0,1.1,59.1,Sr,6-8,,-0.0920556,83.5821,5.6,2008,53,"Kankakee, IL",,0.64705881,,,,,,,,,,107.056,104.896,1.0146,54.3264,-5.19598,-3.8392,-1.35679,-5.4934,13.0,-4.33349,-1.15991,0.84,1.72,2.56,0.44,0.24,0.12,3.12,,0.0,1985-10-15,0
Saint Mary's,WCC,30,41.7,107.3,20.7,49.4,51.75,1.6,6.0,28.2,20.9,19,23,0.826,22,41,0.537,39,122,0.32,0.6,3.0,14.1,Jr,6-2,,1.41861,109.309,2.8,2008,54,,,1.95,,,,,,,,,,95.9842,96.0688,1.83352,88.6543,2.30231,2.34648,-0.0441658,3.50805,17.5,1.86408,1.64396,0.25,0.9688,1.2188,2.4375,0.8438,0.0938,5.875,,13.896,1986-10-15,0
Alabama A&M,SWAC,12,9.8,62.8,25.3,46.2,46.44,1.0,11.1,18.3,43.9,5,11,0.455,9,18,0.5,2,8,0.25,1.0,2.2,42.3,Fr,5-10,,-0.667284,62.942,3.5,2008,55,,,0.32142284,,,,,,,,,,96.3307,102.198,0.724353,19.3821,-13.1556,-11.2789,-1.87669,-11.5784,7.8667,-8.90875,-2.66966,0.0667,0.7333,0.8,0.6,0.2667,0.0667,2.2,,4.44106,1989-08-15,0
Hofstra,CAA,1,0.2,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,So,6-7,,-0.652207,-8.41231,0.0,2008,56,"Statesville, NC",,0.0,,,,,,,,,,87.4882,84.4088,0.293896,0.564502,-13.0164,-8.76338,-4.25305,-0.270395,2.0,-1.82079,1.55039,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,1987-10-15,0
